,TXS,NODES,FRAC_SPIES,PRECISION,RECALL,KAD_K,ID_LEN
32,10.0,10.0,0.14285714285714285,0.0,0.0,20.0,8.0
33,20.0,10.0,0.14285714285714285,0.4047619047619047,0.8571428571428571,20.0,8.0
34,50.0,10.0,0.14285714285714285,0.06845238095238095,0.5,20.0,8.0
35,100.0,10.0,0.14285714285714285,0.08050591383924716,0.8888888888888888,20.0,8.0
36,1.0,10.0,0.125,1.0,1.0,20.0,8.0
37,5.0,10.0,0.125,0.6666666666666666,0.6666666666666666,20.0,8.0
38,10.0,10.0,0.125,0.0,0.0,20.0,8.0
39,20.0,10.0,0.125,0.4047619047619047,0.8571428571428571,20.0,8.0
40,50.0,10.0,0.125,0.06845238095238095,0.5,20.0,8.0
41,100.0,10.0,0.125,0.08050591383924716,0.8888888888888888,20.0,8.0
42,1.0,10.0,0.1111111111111111,1.0,1.0,20.0,8.0
43,5.0,10.0,0.1111111111111111,0.6666666666666666,0.6666666666666666,20.0,8.0
44,10.0,10.0,0.1111111111111111,0.0,0.0,20.0,8.0
45,20.0,10.0,0.1111111111111111,0.4047619047619047,0.8571428571428571,20.0,8.0
46,50.0,10.0,0.1111111111111111,0.06845238095238095,0.5,20.0,8.0
47,100.0,10.0,0.1111111111111111,0.08050591383924716,0.8888888888888888,20.0,8.0
48,1.0,10.0,0.1,1.0,1.0,20.0,8.0
49,5.0,10.0,0.1,0.6666666666666666,0.6666666666666666,20.0,8.0
50,10.0,10.0,0.1,0.0,0.0,20.0,8.0
51,20.0,10.0,0.1,0.4047619047619047,0.8571428571428571,20.0,8.0
52,50.0,10.0,0.1,0.06845238095238095,0.5,20.0,8.0
53,100.0,10.0,0.1,0.08050591383924716,0.8888888888888888,20.0,8.0
54,1.0,50.0,0.5,1.0,1.0,20.0,8.0
55,5.0,50.0,0.5,1.0,1.0,20.0,8.0
56,10.0,50.0,0.5,0.875,1.0,20.0,8.0
57,20.0,50.0,0.5,0.7619047619047619,1.0,20.0,8.0
58,50.0,50.0,0.5,0.44354838709677424,0.967741935483871,20.0,8.0
59,100.0,50.0,0.5,0.24598560354374305,1.0,20.0,8.0
60,1.0,50.0,0.3333333333333333,1.0,1.0,20.0,8.0
61,5.0,50.0,0.3333333333333333,1.0,1.0,20.0,8.0
62,10.0,50.0,0.3333333333333333,0.9,1.0,20.0,8.0
63,20.0,50.0,0.3333333333333333,0.7142857142857143,0.9285714285714286,20.0,8.0
